Interaction chart,Mockup
Mockup,[Feedback method] of the screens
Interactive wireframe,[Feedback method] of the Interaction chart
Interactive wireframe,Decide on frameworks
Interactive wireframe,Set up the database
Interactive wireframe,Navigational skeleton
Interactive wireframe,Create SolidWorks model
Set up the database,Database documentation
Navigational skeleton,Login
Navigational skeleton,Functional pages
Functional pages,Styled pages
Functional pages,Design user study
Functional pages,Draft five advertisement designs
Functional pages,Write code review
Functional pages,Write technical documentation
Functional pages,Improve code via code review
Styled pages,Redesign page style
Script idea discussion,Detailed script
Detailed script,Storyboarding
Detailed script,Character design
Detailed script,Background design
Detailed script,Character animation
Detailed script,Character animation
Detailed script,Music ambience and description
Detailed script,Voiceover
Detailed script,Create sound effets
Detailed script,Review the script
Detailed script,Generate quiz questions
Detailed script,Determine graphical appearance of things
Detailed script,Music ambience and description
Storyboarding,Music ambience and description
Character design,Prepare character for animation
Character design,Prepare character for animation
Prepare character for animation,Character animation
Prepare character for animation,Character animation
Prepare character for animation,Character animation
Prepare character for animation,Character animation
Music ambience and description,Music composition
Music composition,Record music
Audio mix,Final editing
Create SolidWorks model,Make a 3D printed device
Design user study,Critique user study design
Design user study,Revise user study
Design user study,Recruit study participants
Design user study,Run user study
Revise user study,Critique user study design
Revise user study,Revise user study
Revise user study,Recruit study participants
Revise user study,Run user study
Redesign page style,Redesign page style
Develop educational goals,Develop lecture outline
Develop lecture outline,Detailed script
Develop lecture outline,Author lecture slide content
Author lecture slide content,Style slide deck
Draft five advertisement designs,Critique advertisement design
Draft five advertisement designs,Draft three advertisement designs
Draft five advertisement designs,Critique advertisement design 2
Critique advertisement design,Draft three advertisement designs
Critique advertisement design,Draft final advertisement design
Draft three advertisement designs,Draft final advertisement design
Critique advertisement design 2,Draft three advertisement designs
Critique advertisement design 2,Draft final advertisement design
Design: Empathize,Design: Focus
Design: Empathize,Design: Focus — Story share and capture
Design: Empathize,Design: Focus — Saturate and group
Design: Empathize,Design: Focus — Empathy Map
Design: Empathize,Design: Focus — Journey Map
Design: Empathize,Design: Focus — Composite Character Profile
Design: Empathize,Design: Focus — Powers of Ten
Design: Empathize,Design: Focus — 2x2 Matrix
Design: Empathize,Design: Focus — Why How Ladder
Design: Empathize,Design: Focus — Point of View Madlib
Design: Empathize,Design: Focus — Point of View Analogy
Design: Empathize,Design: Focus — Point of View Want Ad
Design: Empathize — Assume a Beginner's Mindset,Design: Focus
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Story share and capture
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Saturate and group
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Empathy Map
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Journey Map
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Composite Character Profile
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Powers of Ten
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — 2x2 Matrix
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Why How Ladder
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Point of View Madlib
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Point of View Analogy
Design: Empathize — Assume a Beginner's Mindset,Design: Focus — Point of View Want Ad
Design: Empathize — What? How? Why?,Design: Focus
Design: Empathize — What? How? Why?,Design: Focus — Story share and capture
Design: Empathize — What? How? Why?,Design: Focus — Saturate and group
Design: Empathize — What? How? Why?,Design: Focus — Empathy Map
Design: Empathize — What? How? Why?,Design: Focus — Journey Map
Design: Empathize — What? How? Why?,Design: Focus — Composite Character Profile
Design: Empathize — What? How? Why?,Design: Focus — Powers of Ten
Design: Empathize — What? How? Why?,Design: Focus — 2x2 Matrix
Design: Empathize — What? How? Why?,Design: Focus — Why How Ladder
Design: Empathize — What? How? Why?,Design: Focus — Point of View Madlib
Design: Empathize — What? How? Why?,Design: Focus — Point of View Analogy
Design: Empathize — What? How? Why?,Design: Focus — Point of View Want Ad
Design: Empathize — User Camera Study,Design: Focus
Design: Empathize — User Camera Study,Design: Focus — Story share and capture
Design: Empathize — User Camera Study,Design: Focus — Saturate and group
Design: Empathize — User Camera Study,Design: Focus — Empathy Map
Design: Empathize — User Camera Study,Design: Focus — Journey Map
Design: Empathize — User Camera Study,Design: Focus — Composite Character Profile
Design: Empathize — User Camera Study,Design: Focus — Powers of Ten
Design: Empathize — User Camera Study,Design: Focus — 2x2 Matrix
Design: Empathize — User Camera Study,Design: Focus — Why How Ladder
Design: Empathize — User Camera Study,Design: Focus — Point of View Madlib
Design: Empathize — User Camera Study,Design: Focus — Point of View Analogy
Design: Empathize — User Camera Study,Design: Focus — Point of View Want Ad
Design: Empathize — Interview Preparation,Design: Empathize — Interview for Empathy
Design: Empathize — Interview for Empathy,Design: Focus
Design: Empathize — Interview for Empathy,Design: Focus — Story share and capture
Design: Empathize — Interview for Empathy,Design: Focus — Saturate and group
Design: Empathize — Interview for Empathy,Design: Focus — Empathy Map
Design: Empathize — Interview for Empathy,Design: Focus — Journey Map
Design: Empathize — Interview for Empathy,Design: Focus — Composite Character Profile
Design: Empathize — Interview for Empathy,Design: Focus — Powers of Ten
Design: Empathize — Interview for Empathy,Design: Focus — 2x2 Matrix
Design: Empathize — Interview for Empathy,Design: Focus — Why How Ladder
Design: Empathize — Interview for Empathy,Design: Focus — Point of View Madlib
Design: Empathize — Interview for Empathy,Design: Focus — Point of View Analogy
Design: Empathize — Interview for Empathy,Design: Focus — Point of View Want Ad
Design: Empathize — Extreme Users,Design: Focus
Design: Empathize — Extreme Users,Design: Focus — Story share and capture
Design: Empathize — Extreme Users,Design: Focus — Saturate and group
Design: Empathize — Extreme Users,Design: Focus — Empathy Map
Design: Empathize — Extreme Users,Design: Focus — Journey Map
Design: Empathize — Extreme Users,Design: Focus — Composite Character Profile
Design: Empathize — Extreme Users,Design: Focus — Powers of Ten
Design: Empathize — Extreme Users,Design: Focus — 2x2 Matrix
Design: Empathize — Extreme Users,Design: Focus — Why How Ladder
Design: Empathize — Extreme Users,Design: Focus — Point of View Madlib
Design: Empathize — Extreme Users,Design: Focus — Point of View Analogy
Design: Empathize — Extreme Users,Design: Focus — Point of View Want Ad
Design: Empathize — Analogous Empathy,Design: Focus
Design: Empathize — Analogous Empathy,Design: Focus — Story share and capture
Design: Empathize — Analogous Empathy,Design: Focus — Saturate and group
Design: Empathize — Analogous Empathy,Design: Focus — Empathy Map
Design: Empathize — Analogous Empathy,Design: Focus — Journey Map
Design: Empathize — Analogous Empathy,Design: Focus — Composite Character Profile
Design: Empathize — Analogous Empathy,Design: Focus — Powers of Ten
Design: Empathize — Analogous Empathy,Design: Focus — 2x2 Matrix
Design: Empathize — Analogous Empathy,Design: Focus — Why How Ladder
Design: Empathize — Analogous Empathy,Design: Focus — Point of View Madlib
Design: Empathize — Analogous Empathy,Design: Focus — Point of View Analogy
Design: Empathize — Analogous Empathy,Design: Focus — Point of View Want Ad
Design: Focus,Design: Focus — Point of View Checklist
Design: Focus — Story share and capture,Design: Focus
Design: Focus — Story share and capture,Design: Focus — Story share and capture
Design: Focus — Story share and capture,Design: Focus — Saturate and group
Design: Focus — Story share and capture,Design: Focus — Empathy Map
Design: Focus — Story share and capture,Design: Focus — Journey Map
Design: Focus — Story share and capture,Design: Focus — Composite Character Profile
Design: Focus — Story share and capture,Design: Focus — Powers of Ten
Design: Focus — Story share and capture,Design: Focus — 2x2 Matrix
Design: Focus — Story share and capture,Design: Focus — Why How Ladder
Design: Focus — Story share and capture,Design: Focus — Point of View Madlib
Design: Focus — Story share and capture,Design: Focus — Point of View Analogy
Design: Focus — Story share and capture,Design: Focus — Point of View Want Ad
Design: Focus — Saturate and group,Design: Focus
Design: Focus — Saturate and group,Design: Focus — Story share and capture
Design: Focus — Saturate and group,Design: Focus — Saturate and group
Design: Focus — Saturate and group,Design: Focus — Empathy Map
Design: Focus — Saturate and group,Design: Focus — Journey Map
Design: Focus — Saturate and group,Design: Focus — Composite Character Profile
Design: Focus — Saturate and group,Design: Focus — Powers of Ten
Design: Focus — Saturate and group,Design: Focus — 2x2 Matrix
Design: Focus — Saturate and group,Design: Focus — Why How Ladder
Design: Focus — Saturate and group,Design: Focus — Point of View Madlib
Design: Focus — Saturate and group,Design: Focus — Point of View Analogy
Design: Focus — Saturate and group,Design: Focus — Point of View Want Ad
Design: Focus — Empathy Map,Design: Focus
Design: Focus — Empathy Map,Design: Focus — Story share and capture
Design: Focus — Empathy Map,Design: Focus — Saturate and group
Design: Focus — Empathy Map,Design: Focus — Empathy Map
Design: Focus — Empathy Map,Design: Focus — Journey Map
Design: Focus — Empathy Map,Design: Focus — Composite Character Profile
Design: Focus — Empathy Map,Design: Focus — Powers of Ten
Design: Focus — Empathy Map,Design: Focus — 2x2 Matrix
Design: Focus — Empathy Map,Design: Focus — Why How Ladder
Design: Focus — Empathy Map,Design: Focus — Point of View Madlib
Design: Focus — Empathy Map,Design: Focus — Point of View Analogy
Design: Focus — Empathy Map,Design: Focus — Point of View Want Ad
Design: Focus — Journey Map,Design: Focus
Design: Focus — Journey Map,Design: Focus — Story share and capture
Design: Focus — Journey Map,Design: Focus — Saturate and group
Design: Focus — Journey Map,Design: Focus — Empathy Map
Design: Focus — Journey Map,Design: Focus — Journey Map
Design: Focus — Journey Map,Design: Focus — Composite Character Profile
Design: Focus — Journey Map,Design: Focus — Powers of Ten
Design: Focus — Journey Map,Design: Focus — 2x2 Matrix
Design: Focus — Journey Map,Design: Focus — Why How Ladder
Design: Focus — Journey Map,Design: Focus — Point of View Madlib
Design: Focus — Journey Map,Design: Focus — Point of View Analogy
Design: Focus — Journey Map,Design: Focus — Point of View Want Ad
Design: Focus — Composite Character Profile,Design: Focus
Design: Focus — Composite Character Profile,Design: Focus — Story share and capture
Design: Focus — Composite Character Profile,Design: Focus — Saturate and group
Design: Focus — Composite Character Profile,Design: Focus — Empathy Map
Design: Focus — Composite Character Profile,Design: Focus — Journey Map
Design: Focus — Composite Character Profile,Design: Focus — Composite Character Profile
Design: Focus — Composite Character Profile,Design: Focus — Powers of Ten
Design: Focus — Composite Character Profile,Design: Focus — 2x2 Matrix
Design: Focus — Composite Character Profile,Design: Focus — Why How Ladder
Design: Focus — Composite Character Profile,Design: Focus — Point of View Madlib
Design: Focus — Composite Character Profile,Design: Focus — Point of View Analogy
Design: Focus — Composite Character Profile,Design: Focus — Point of View Want Ad
Design: Focus — Powers of Ten,Design: Focus
Design: Focus — Powers of Ten,Design: Focus — Story share and capture
Design: Focus — Powers of Ten,Design: Focus — Saturate and group
Design: Focus — Powers of Ten,Design: Focus — Empathy Map
Design: Focus — Powers of Ten,Design: Focus — Journey Map
Design: Focus — Powers of Ten,Design: Focus — Composite Character Profile
Design: Focus — Powers of Ten,Design: Focus — Powers of Ten
Design: Focus — Powers of Ten,Design: Focus — 2x2 Matrix
Design: Focus — Powers of Ten,Design: Focus — Why How Ladder
Design: Focus — Powers of Ten,Design: Focus — Point of View Madlib
Design: Focus — Powers of Ten,Design: Focus — Point of View Analogy
Design: Focus — Powers of Ten,Design: Focus — Point of View Want Ad
Design: Focus — 2x2 Matrix,Design: Focus
Design: Focus — 2x2 Matrix,Design: Focus — Story share and capture
Design: Focus — 2x2 Matrix,Design: Focus — Saturate and group
Design: Focus — 2x2 Matrix,Design: Focus — Empathy Map
Design: Focus — 2x2 Matrix,Design: Focus — Journey Map
Design: Focus — 2x2 Matrix,Design: Focus — Composite Character Profile
Design: Focus — 2x2 Matrix,Design: Focus — Powers of Ten
Design: Focus — 2x2 Matrix,Design: Focus — 2x2 Matrix
Design: Focus — 2x2 Matrix,Design: Focus — Why How Ladder
Design: Focus — 2x2 Matrix,Design: Focus — Point of View Madlib
Design: Focus — 2x2 Matrix,Design: Focus — Point of View Analogy
