Name	[for each]	Input	Output	Worker	Work	Length	Notes		Napkin sketch	Animation	Education	Ebook	Physical Prototype	User stdy	REdesign	Lecture	Web ad
Interaction chart	n/a	Napkin sketch ⋀ Description of the app	Interaction chart	UI Designer	Imagine what the app will do and how. Draw the navigational skeleton and interaction flow	1h			1	0	0	0					
Mockup	Screen	Interaction chart	Screen mockup	UI Designer	Create a wireframe mockup of the screen based on its position in the interaction chart (especially where it points to)				1	0	0	0					
Interactive wireframe	n/a	Screen mockup* ⋀ Interaction chart	Interactive wireframe	UI Designer	Link the screens together with hyperlinks, according to the interaction chart				1	0	0	0					
[Feedback method] of the screens	Screen	Screen mockup	[Feedback method] Report	UX Researcher	Test the screen and write a Google Doc with the results of the [Feedback method]		Replace [Feedback method] by any method you want to use for the revision. For instance, [Heuristic evaluation], [Online user testing], [In-person user testing]…		1	0	0	0					
[Feedback method] of the Interaction chart	n/a	Interactive wireframe	[Feedback method] Report	UX Researcher	Test the wireframe prototype interaction flow and write a Google Doc with the results of the [Feedback method]		Replace [Feedback method] by any method you want to use for the revision. For instance, [Heuristic evaluation], [Online user testing], [In-person user testing]…		1	0	0	0					
Revise [Object] with [Feedback method]	n/a	[Object] ⋀ [Feedback method] Report	Revised [Object]	UI Designer	Conduct a [Feedback method: Heuristic evaluation] on the [Object: Interaction chart]		Replace [Object] by any thing you want to be revised. For instance, [Interaction chart], [Screen mockup], [Interactive wireframe], [Homepage of the web prototype]… Replace [Feedback method] by any method you want to use for the revision. For instance, [Heuristic evaluation], [Online user testing], [In-person user testing]…		1	0	0	0					
Decide on frameworks	n/a	Wireframe mockup ⋀ Description of the app	Framework list	Developer+	Decide what frameworks will be used based on what the app does and the requirements of the project				1	0	0	0					
Set up the database	n/a	Wireframe mockup ⋀ Framework list ⋀ Description of the app	Database	Developer	Set up the database				1	0	0	0					
Database documentation	n/a	Database	Database documentation	Developer	Write documentation about tables, attributes & queries in a Google Doc				1	0	0	0					
Navigational skeleton	n/a	Wireframe mockup	Navigational skeleton	Developer	Create the different pages of the website and have links between them				1	0	0	0					
Login	n/a	Navigational skeleton ⋀ Database ⋀ Database documentation	Navigational skeleton with login	Developer	Implement login				1	0	0	0					
Functional pages	Page	Navigational skeleton ⋀ Database ⋀ Database documentation	Functional page	Developer	Code the page functionalities				1	0	0	0					
Styled pages	Page	Functional page ⋀ Framework list	Styled page	Developer	Integrate CSS in the page				1	0	0	0					
Logo design	n/a	Description of the app	Logo	Graphic Designer	Design the app logo and provide source files and *.png file				1	0	0	0					
Script idea discussion	n/a	Requester's input	Outline of the script	Writer ⋀ Director	Come up with an engaging way of conveying the idea				0	1	1	1					
Detailed script	n/a	Outline of the script	Detailed script	Writer	Write the detailed script including the actions, the exact dialogues, the character descriptions…				0	1	1	1					
